settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased
6221566361						Order	108-0676481-8888246			DW2nGKfgN	Amazon.com	ItemPrice	Principal	10.59	MFN	2016-11-18	2016-11-18 09:06:51 UTC	9260063781290			EMTO-FUNS-AA211	1
6221566361						Order	108-0676481-8888246			DW2nGKfgN	Amazon.com	ItemPrice	Shipping	47.3	MFN	2016-11-18	2016-11-18 09:06:51 UTC	9260063781290			EMTO-FUNS-AA211	1
6221566361						Order	108-0676481-8888246			DW2nGKfgN	Amazon.com	ItemFees	Commission	-1.59	MFN	2016-11-18	2016-11-18 09:06:51 UTC	9260063781290			EMTO-FUNS-AA211	1
6221566361						Order	108-0676481-8888246			DW2nGKfgN	Amazon.com	ItemFees	ShippingHB	-7.09	MFN	2016-11-18	2016-11-18 09:06:51 UTC	9260063781290			EMTO-FUNS-AA211	1
6221566361						Order	110-3066426-8252267			D79NGTfMN	Amazon.com	ItemPrice	Principal	24.89	MFN	2016-11-18	2016-11-18 09:06:46 UTC	65068935774274			AXM1-KLMT-XM26	1
6221566361						Order	110-3066426-8252267			D79NGTfMN	Amazon.com	ItemFees	Commission	-3.73	MFN	2016-11-18	2016-11-18 09:06:46 UTC	65068935774274			AXM1-KLMT-XM26	1
6221566361						Order	103-4528743-9922631			DHZmtZfPN	Amazon.com	ItemPrice	Principal	24.89	MFN	2016-11-18	2016-11-18 09:06:45 UTC	65700903210298			AXM1-KLMT-XM25	1
6221566361						Order	103-4528743-9922631			DHZmtZfPN	Amazon.com	ItemFees	Commission	-3.73	MFN	2016-11-18	2016-11-18 09:06:45 UTC	65700903210298			AXM1-KLMT-XM25	1
6221566361						Order	116-9599945-6037855			DtygTrNDN	Amazon.com	ItemPrice	Principal	5.2	MFN	2016-11-18	2016-11-18 09:06:45 UTC	15530687724610			LJXM-0713-LJ65	1
6221566361						Order	116-9599945-6037855			DtygTrNDN	Amazon.com	ItemFees	Commission	-1	MFN	2016-11-18	2016-11-18 09:06:45 UTC	15530687724610			LJXM-0713-LJ65	1
6221566361						Order	110-8785963-9065832	110-8785963-9065832		Dd3JmCXgH	Amazon.com	ItemPrice	Principal	22	AFN	2016-11-18	2016-11-18 07:38:28 UTC	54075251417482			FR-YJUD-O645	1
6221566361						Order	110-8785963-9065832	110-8785963-9065832		Dd3JmCXgH	Amazon.com	ItemFees	FBAPerOrderFulfillmentFee	-1	AFN	2016-11-18	2016-11-18 07:38:28 UTC	54075251417482			FR-YJUD-O645	1
6221566361						Order	110-8785963-9065832	110-8785963-9065832		Dd3JmCXgH	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-1.06	AFN	2016-11-18	2016-11-18 07:38:28 UTC	54075251417482			FR-YJUD-O645	1
6221566361						Order	110-8785963-9065832	110-8785963-9065832		Dd3JmCXgH	Amazon.com	ItemFees	FBAWeightBasedFee	-2.36	AFN	2016-11-18	2016-11-18 07:38:28 UTC	54075251417482			FR-YJUD-O645	1
6221566361						Order	110-8785963-9065832	110-8785963-9065832		Dd3JmCXgH	Amazon.com	ItemFees	Commission	-3.3	AFN	2016-11-18	2016-11-18 07:38:28 UTC	54075251417482			FR-YJUD-O645	1
6221566361						Order	116-5933460-0889850	116-5933460-0889850		DLfCPwjHH	Amazon.com	ItemPrice	Principal	13.99	AFN	2016-11-18	2016-11-18 05:25:15 UTC	30933767766154			M2-Q0FT-J8PU	1
