seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
YH--BYN6AA010A15	B01LX6K1LP	B01LX6K1LP	NewItem	SELLABLE	10
YH-BYN6AC038NW2	B01M0DPREZ	B01M0DPREZ	NewItem	SELLABLE	12
YH--BYN6AS013NR2	B01LZGJZ3I	B01LZGJZ3I	NewItem	SELLABLE	10
YH-BYN6AC031W04	B01LZA1NTQ	B01LZA1NTQ	NewItem	SELLABLE	20
YH-BYN6AC028B35	B01LZKHVP7	B01LZKHVP7	NewItem	SELLABLE	15
YH-BYN6AC047B34	B01MDUU0M2	B01MDUU0M2	NewItem	SELLABLE	28
YH-BY48349NBMYQ	B01LX4UY4A	B01LX4UY4A	NewItem	SELLABLE	0
YH-BY48349NBMYQ	B01LX4UY4A	B01LX4UY4A	NewItem	UNSELLABLE	2
YH-BY4834VILRN3	B01LXGNTSC	B01LXGNTSC	NewItem	SELLABLE	3
YH-BYE6QK005N04	B01M1V1N4T	B01M1V1N4T	NewItem	SELLABLE	257
YH-BYE6QK005N04	B01M1V1N4T	B01M1V1N4T	NewItem	UNSELLABLE	2
YH-BYN6AC035B15	B01LQ4JG3U	B01LQ4JG3U	NewItem	SELLABLE	51
YH-BYN7SC011BA4	B01N12FEUE	B01N12FEUE	NewItem	SELLABLE	0
YH-BYN6AS017N05	B01M8FYO6V	B01M8FYO6V	NewItem	SELLABLE	0
YH-BYN6AS017N05	B01M8FYO6V	B01M8FYO6V	NewItem	UNSELLABLE	1
YH-BYN6AA018BO5	B01MTJVOEP	B01MTJVOEP	NewItem	SELLABLE	14
CL-BYN6AC001W04	B01JODSTRE	B01JODSTRE	NewItem	SELLABLE	31
YH-BYN6AC047B14	B01MD1W9G5	B01MD1W9G5	NewItem	SELLABLE	29
YH-BY483450FL63	B01LATTY56	B01LATTY56	NewItem	SELLABLE	42
YH-BYE6QK005N03	B01LWOUN0S	B01LWOUN0S	NewItem	SELLABLE	43
YH-BYE6QK005N03	B01LWOUN0S	B01LWOUN0S	NewItem	UNSELLABLE	3
YH-BYN6AW015RW2	B01LZEGAFJ	B01LZEGAFJ	NewItem	SELLABLE	46
YH-BYN6AH009R04	B01LZIKVQK	B01LZIKVQK	NewItem	SELLABLE	14
YH-BYN7SC012R96	B01MZBAKOT	B01MZBAKOT	NewItem	SELLABLE	0
YH-BYN6AW018A33	B01M1JUR8U	B01M1JUR8U	NewItem	SELLABLE	0
YH-BYN6AC030W02	B01LYYE6OT	B01LYYE6OT	NewItem	SELLABLE	33
YH-BYN6AW018A35	B01M0KYCVN	B01M0KYCVN	NewItem	SELLABLE	5
